time,flux,flux_err,band
62545.3351,1.0154,1.2887,y
62552.6678,0.1053,0.2665,i
62555.1121,0.452,0.4225,i
62555.1121,0.0835,0.4001,z
62562.4448,0.4349,0.508,u
62562.4448,0.0638,0.1544,r
62606.441,-0.7877,0.4844,z
62606.441,-0.3406,1.4159,y
62625.9948,0.0286,0.6019,u
62625.9948,-0.6604,0.3455,r
62826.422,0.0729,0.1767,r
62826.422,-0.3684,0.2568,i
62826.422,-0.0301,0.4868,z
62833.7547,0.7483,0.2309,i
62841.0874,3.0095,0.3342,i
62850.8644,3.9502,0.6416,z
62850.8644,5.0177,1.5361,y
62853.3086,6.2573,0.3024,r
62853.3086,5.5271,0.2557,i
62858.1971,0.8823,0.3363,u
62858.1971,3.936,0.0989,g
62860.6413,4.9026,0.3602,r
62863.0855,4.6175,0.3,i
62863.0855,3.7109,0.5806,z
62882.6394,1.5056,0.4908,z
62882.6394,1.5507,1.1493,y
62885.0836,0.1593,0.1284,g
62885.0836,1.4992,0.1886,r
62889.9721,0.2113,0.3643,u
62889.9721,1.0692,0.1449,r
62894.8606,0.4211,0.956,y
62904.6375,1.3856,0.7487,z
62904.6375,1.3411,1.083,y
62907.0817,-0.5586,1.7308,y
62909.526,-0.0369,0.2098,g
62909.526,0.0611,0.3077,r
62911.9702,1.2978,0.4493,i
62914.4144,0.363,0.3401,u
62914.4144,0.273,0.1693,r
62919.3029,-0.1901,0.3095,g
62919.3029,0.1287,0.2557,r
62933.9683,0.1364,0.7826,z
62936.4125,0.0341,0.2914,i
62938.8568,0.1489,0.1896,r
62941.301,0.7355,0.3398,i
62941.301,0.3834,0.5959,z
62946.1895,-0.0419,0.2767,u
62946.1895,0.1143,0.1156,g
62948.6337,-0.3364,0.3716,i
62948.6337,-0.0362,0.4785,z
62960.8549,-1.5234,1.3978,y
62968.1876,0.177,0.4944,r
63141.7282,0.3593,0.6035,i
63171.059,-0.2669,0.5361,i
63171.059,1.4696,0.5518,z
63180.8359,0.2645,0.138,g
63180.8359,0.1562,0.1661,r
63185.7244,-0.1182,0.1514,r
63185.7244,-0.6829,0.3193,i
63207.7225,0.1176,0.1491,r
63217.4994,0.063,0.2988,u
63217.4994,-0.0447,0.141,r
63234.6091,0.2715,0.3854,i
63234.6091,-0.2616,0.5545,z
63271.2726,0.1058,0.2148,r
63278.6053,0.1523,0.2749,i
63288.3822,0.5221,1.0441,z
63293.2707,0.6252,0.4419,i
63293.2707,-0.0465,0.7035,z
